City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,kodiak,57.79,-152.4072,0.73,47,0,11.83,US,2023-04-01 15:48:15
69,bredasdorp,-34.5322,20.0403,19.6,72,0,5.36,ZA,2023-04-01 15:48:15
70,faanui,-16.4833,-151.75,27.67,73,37,2.03,PF,2023-04-01 15:48:15
71,fort nelson,58.8053,-122.7002,-7.81,82,100,2.57,CA,2023-04-01 15:48:16
72,elko,41.0002,-115.5012,3.19,61,100,4.02,US,2023-04-01 15:45:18
73,necochea,-38.5473,-58.7368,17.39,44,100,4.73,AR,2023-04-01 15:38:44
74,hithadhoo,-0.6,73.0833,28.32,68,77,2.14,MV,2023-04-01 15:48:16
75,new norfolk,-42.7826,147.0587,11.72,71,99,0.89,AU,2023-04-01 15:48:17
76,kapaa,22.0752,-159.319,22.18,94,100,3.09,US,2023-04-01 15:48:17
77,denpasar,-8.65,115.2167,26.81,94,40,1.03,ID,2023-04-01 15:41:26
78,bethel,41.3712,-73.414,15.36,88,100,5.66,US,2023-04-01 15:48:18
79,ayan,56.45,138.1667,-3.7,95,97,1.3,RU,2023-04-01 15:48:18
80,prince rupert,54.3161,-130.3201,3.83,93,75,3.09,CA,2023-04-01 15:48:18
81,rocha,-34.4833,-54.3333,22.0,41,46,5.86,UY,2023-04-01 15:48:19
82,anadyr,64.75,177.4833,-12.22,84,28,12.0,RU,2023-04-01 15:48:19
83,leningradskiy,69.3833,178.4167,-13.93,90,100,11.02,RU,2023-04-01 15:48:19
84,castro,-24.7911,-50.0119,24.91,62,69,3.29,BR,2023-04-01 15:48:20
85,gamba,-2.65,10.0,24.69,84,100,0.18,GA,2023-04-01 15:48:20
86,aklavik,68.2191,-135.0107,-26.0,76,40,1.54,CA,2023-04-01 15:48:21
87,acapulco,16.8634,-99.8901,27.9,54,0,2.57,MX,2023-04-01 15:48:21
88,pevek,69.7008,170.3133,-20.94,98,100,7.5,RU,2023-04-01 15:48:22
89,itacoatiara,-3.1431,-58.4442,23.36,98,100,2.47,BR,2023-04-01 15:48:22
90,khatanga,71.9667,102.5,-7.26,94,100,9.46,RU,2023-04-01 15:48:23
91,cape town,-33.9258,18.4232,21.6,70,0,7.2,ZA,2023-04-01 15:46:59
